1	1	m	1	2006	246624
2	1	m	1	2007	248190
3	1	m	1	2008	251736
4	1	m	1	2009	256404
5	1	m	1	2010	261213
6	1	m	1	2011	267028
7	1	m	1	2012	271418
8	1	m	1	2013	276256
9	1	m	1	2014	281651
10	1	m	1	2015	286916
11	1	m	1	2016	292245
12	2	m	1	2017	297647
13	2	m	1	2006	43111
14	2	m	1	2007	43285
15	2	m	1	2008	43863
16	2	m	1	2009	44754
17	2	m	1	2010	45579
18	2	m	1	2011	46559
19	2	m	1	2012	47193
20	2	m	1	2013	48094
21	2	m	1	2014	48356
22	2	m	1	2015	48582
23	2	m	1	2016	49374
24	3	m	1	2017	49774
25	3	m	1	2006	6383
26	3	m	1	2007	6413
27	3	m	1	2008	6475
28	3	m	1	2009	6556
29	3	m	1	2010	6601
30	3	m	1	2011	6679
31	3	m	1	2012	6682
32	3	m	1	2013	6798
33	3	m	1	2014	6845
34	3	m	1	2015	6839
35	3	m	1	2016	6927
36	4	m	1	2017	7004
37	4	m	1	2006	19313
38	4	m	1	2007	19377
39	4	m	1	2008	19436
40	4	m	1	2009	19516
41	4	m	1	2010	19607
42	4	m	1	2011	19886
43	4	m	1	2012	20058
44	4	m	1	2013	20310
45	4	m	1	2014	20674
46	4	m	1	2015	21050
47	4	m	1	2016	21168
48	5	m	1	2017	21259
49	5	m	1	2006	13966
50	5	m	1	2007	13845
51	5	m	1	2008	13810
52	5	m	1	2009	13871
53	5	m	1	2010	13837
54	5	m	1	2011	13866
55	5	m	1	2012	13947
56	5	m	1	2013	13930
57	5	m	1	2014	13848
58	5	m	1	2015	13876
59	5	m	1	2016	13927
60	6	m	1	2017	13900
61	6	m	1	2006	22786
62	6	m	1	2007	22919
63	6	m	1	2008	23115
64	6	m	1	2009	23260
65	6	m	1	2010	23342
66	6	m	1	2011	23524
67	6	m	1	2012	23561
68	6	m	1	2013	23658
69	6	m	1	2014	23786
70	6	m	1	2015	23701
71	6	m	1	2016	23601
72	7	m	1	2017	23573
73	7	m	1	2006	16723
74	7	m	1	2007	16549
75	7	m	1	2008	16476
76	7	m	1	2009	16455
77	7	m	1	2010	16469
78	7	m	1	2011	16616
79	7	m	1	2012	16650
80	7	m	1	2013	16718
81	7	m	1	2014	16917
82	7	m	1	2015	17181
83	7	m	1	2016	17333
84	8	m	1	2017	17401
85	8	m	1	2006	32105
86	8	m	1	2007	32141
87	8	m	1	2008	32296
88	8	m	1	2009	32731
89	8	m	1	2010	33357
90	8	m	1	2011	33704
91	8	m	1	2012	34181
92	8	m	1	2013	34664
93	8	m	1	2014	35111
94	8	m	1	2015	35381
95	8	m	1	2016	35748
96	9	m	1	2017	36047
97	9	m	1	2006	29934
98	9	m	1	2007	30122
99	9	m	1	2008	30477
100	9	m	1	2009	30862
101	9	m	1	2010	31333
102	9	m	1	2011	31789
103	9	m	1	2012	32101
104	9	m	1	2013	32464
105	9	m	1	2014	32752
